Item Municipal|DESCRIÇÃO DO SERVIÇO MUNICIPAL|ALÍQUOTA|BENEFÍCIO FISCAL|SOCIEDADE|COMENTÁRIO|UF|CIDADE|Do prestador|Do tomador|Descrição
4.02|Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|5576|9857|Patologia e eletricidade médica.
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 2, o município estabelece alíquota de 2% para os serviços de hospital, laboratório e pronto socorro, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|4170|9857|Laboratórios.
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 2, o município estabelece alíquota de 2% para os serviços de hospital, laboratório e pronto socorro, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|4189|9857|Hospitais.
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 2, o município estabelece alíquota de 2% para os serviços de hospital, laboratório e pronto socorro, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|4197|9857|Clínicas e casas de saúde.
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 2, o município estabelece alíquota de 2% para os serviços de hospital, laboratório e pronto socorro, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|4219|9857|Ambulatórios e prontos socorros.
4.03|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016||De acordo com a Lei nº 14.096/2005, Tabela, seção 2, o município estabelece alíquota de 2% para os serviços de hospital, laboratório e pronto socorro, desde que situado na Região Adjacente à Estação da Luz.|SP|São Paulo|4235|9857|Sanatórios, manicômios e congêneres.
4.04|Instrumentação cirúrgica.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4251|9857|Instrumentação cirúrgica.
4.05|Acupuntura.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4260|9857|Acupuntura.
4.06|Enfermagem, inclusive serviços auxiliares.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4316|9857|Enfermagem, inclusive serviços auxiliares.
4.06|Enfermagem, inclusive serviços auxiliares.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4359|9857|Enfermagem, inclusive serviços auxiliares (regime especial -sociedade).
4.07|Serviços farmacêuticos.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4383|9857|Serviços farmacêuticos.
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4391|9857|Fisioterapia.
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4430|9857|Fisioterapia (regime especial -sociedade).
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4472|9857|Fonoaudiologia.
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4502|9857|Fonoaudiologia (regime especial -sociedade).
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4510|9857|Terapia ocupacional.
4.08|Terapia ocupacional, fisioterapia e fonoaudiologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4553|9857|Terapia ocupacional (regime especial -sociedade).
4.09|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4588|9857|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental, inclusive massoterapia, naturologia e naturopatia.
4.10|Nutrição.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4626|9857|Nutrição.
4.11|Obstetrícia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4634|9857|Obstetrícia.
4.11|Obstetrícia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4677|9857|Obstetrícia (regime especial -sociedade).
4.12|Odontologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4693|9857|Odontologia.
4.12|Odontologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4731|9857|Odontologia (regime especial -sociedade).
4.13|Ortóptica.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|4774|9857|Ortóptica.
4.13|Ortóptica.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|4901|9857|Ortóptica (regime especial -sociedade).
4.14|Próteses sob encomenda.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5037|9857|Próteses sob encomenda.
4.14|Próteses sob encomenda.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|5096|9857|Próteses sob encomenda (regime especial -sociedade).
4.15|Psicanálise.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5100|9857|Psicanálise.
4.16|Psicologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5118|9857|Psicologia.
4.16|Psicologia.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|Decreto n° 53.151/2012, Anexo único, art. 19||SP|São Paulo|5142|9857|Psicologia, clínica ou não (regime especial -sociedade).
4.17|Casas de repouso e de recuperação, creches, asilos e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016|||SP|São Paulo|5584|9857|Casas de recuperação.
4.17|Casas de repouso e de recuperação, creches, asilos e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016|||SP|São Paulo|5150|9857|Casas de repouso e congêneres.
4.17|Casas de repouso e de recuperação, creches, asilos e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016|||SP|São Paulo|5177|9857|Creches.
4.17|Casas de repouso e de recuperação, creches, asilos e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008; Lei n° 14.096/2005; Decreto n° 46.996/2006;Lei nº 16.359/2016|||SP|São Paulo|5185|9857|Asilos
4.18|Inseminação artificial, fertilização in vitro e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008;Lei nº 16.359/2016|||SP|São Paulo|5193|9857|Inseminação artificial, fertilização in vitro e congêneres.
4.19|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5223|9857|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.
4.20|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012, art. 146; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5231|9857|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.
4.21|Unidade de atendimento, assistência ou tratamento móvel e congêneres.|2%|Portaria Intersecretarial SF/SEME/SNJ/SGM nº 6/2015; Decreto n° 56.235/2015, art. 259, 264, 265, 274, 278, 301, 302 a 312; 313 a 323; 357 a 371; Lei nº 16.127/2015; Lei n° 16.050/2014, art. 179, 185; Instrução Normativa SF/SUREM nº 8/2014; Lei n° 15.931/2013; Lei n° 15.928/2013; Decreto nº 54.129/2013; Decreto n° 53.151/2012 arts 155 a 158; Decreto nº 50.567/2009; Lei n°14.863/2008; Lei nº 14.864/2008;Lei nº 16.359/2016|||SP|São Paulo|5266|9857|Unidade de atendimento, assistência ou tratamento móvel e congêneres.
